CLIENT_IP_ADDRESS SERVER_IP_ADDRESS CLIENT_L4_PORT SERVER_L4_PORT TIME_ABS_START TIME_REL_START TIME_REL_END TIME_BIN_DELTA C_PKTS_ALL C_RSTS_PKTS C_ACKS_PKTS C_PURE_ACKS_PKTS C_BYTES C_PKTS_WITH_DATA C_BYTES_ALL C_PKTS_RETX C_BYTS_RETX S_PKTS_ALL S_RSTS_PKTS S_ACKS_PKTS S_PURE_ACKS_PKTS S_BYTES S_PKTS_WITH_DATA S_BYTES_ALL S_PKTS_RETX S_BYTS_RETX
192.168.2.55 172.64.155.249 59988 443 42056.3388671875 0.0 718.333 718.333 54 0 53 50 771 3 771 0 0 70 0 70 3 187654 66 187654 0 0
192.168.2.55 172.64.155.249 59988 443 43303.091796875 1246.753 1282.292 35.539 2 0 2 1 0 0 0 0 0 2 0 2 1 0 0 0 0 0
192.168.2.55 23.52.38.143 59935 443 16448.747802734375 3229.306 4099.595 870.289 4 0 4 2 2317 2 2317 0 0 6 0 6 2 3641 4 3641 0 0
192.168.2.55 104.18.32.7 59989 443 42777.57177734375 0.0 613.137 613.137 18 0 17 13 977 3 977 0 0 37 0 37 4 54164 31 54164 0 0
192.168.2.55 23.40.140.194 59934 443 28474.975830078125 15351.632 15540.765 189.133 2 0 2 1 540 1 540 0 0 1 0 1 0 605 1 605 0 0
192.168.2.55 142.251.209.46 59990 443 43174.36279296875 0.0 566.69 566.69 55 0 54 50 765 3 765 0 0 75 0 75 4 146123 69 146123 0 0
192.168.2.55 23.52.38.143 59935 443 43371.90966796875 30152.468 30878.28 725.812 5 0 5 2 2710 3 2710 0 0 4 0 4 1 1836 3 2272 1 436
192.168.2.55 63.140.62.27 59961 443 41284.57568359375 23245.11 23245.172 0.062 1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0
192.168.2.55 63.140.62.222 59993 443 45382.67578125 0.0 198.706 198.706 5 1 4 1 517 1 517 0 0 3 0 3 1 2800 1 2800 0 0
192.168.2.55 142.251.209.36 59996 443 45500.462890625 0.0 362.441 362.441 11 0 10 6 764 3 764 0 0 12 0 12 4 14992 6 14992 0 0
192.168.2.55 185.26.141.74 60012 443 46095.423828125 0.0 112.995 112.995 2 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0
192.168.2.55 157.240.203.35 60013 443 47562.5908203125 0.0 630.356 630.356 16 0 15 11 750 3 750 0 0 24 0 24 4 26783 18 26783 0 0
192.168.2.55 101.62.213.61 60015 443 47703.350830078125 0.0 997.218 997.218 12 0 11 5 1207 6 1647 2 440 12 0 12 5 6404 6 6455 1 51
192.168.2.55 101.62.213.61 60017 443 47785.21484375 0.0 999.809 999.809 12 0 11 7 1207 4 1207 0 0 19 0 19 4 58054 14 59454 1 1400
192.168.2.55 63.140.62.222 59992 443 45287.427734375 0.0 620.09 620.09 12 0 11 4 2729 7 2729 0 0 13 0 13 5 5224 7 5224 0 0
192.168.2.55 13.226.244.39 59977 443 20810.61767578125 0.0 336.312 336.312 9 0 8 3 1712 5 1712 0 0 13 0 13 5 6359 7 6359 0 0
192.168.2.55 101.62.213.61 60015 443 48733.36669921875 1030.016 2019.235 989.219 105 0 105 103 496 2 496 0 0 122 0 122 3 522478 119 523524 1 1046
192.168.2.55 18.154.156.167 60018 443 48904.141845703125 0.0 875.044 875.044 10 0 9 5 748 3 748 0 0 12 0 12 4 7147 6 7147 0 0
192.168.2.55 101.62.213.61 60017 443 48785.56787109375 1000.353 1997.933 997.58 109 0 109 108 250 1 250 0 0 130 0 130 1 551025 129 551025 0 0
192.168.2.55 63.140.62.222 59992 443 49124.720703125 3837.293 4814.912 977.619 5 0 5 1 2802 4 2802 0 0 5 0 5 4 61 1 61 0 0
192.168.2.55 101.62.213.61 60015 443 49773.0087890625 2069.658 3069.642 999.984 597 0 597 596 250 1 250 0 0 666 0 666 1 3438283 665 3439683 1 1400
192.168.2.55 185.15.58.224 60020 443 50985.3544921875 0.0 150.029 150.029 17 1 16 11 767 3 767 0 0 21 0 21 4 28065 16 28065 0 0
192.168.2.55 63.140.62.222 59992 443 50182.36669921875 4894.939 5891.494 996.555 3 0 3 2 621 1 621 0 0 4 0 4 1 137 3 137 0 0
192.168.2.55 63.140.62.27 59961 443 44484.218505859375 26444.753 27289.903 845.15 8 0 8 3 2614 5 2614 0 0 6 0 6 2 610 4 610 0 0
192.168.2.55 104.244.42.129 60021 443 53706.20849609375 0.0 346.705 346.705 7 0 6 3 765 3 765 0 0 7 0 7 3 4405 3 4405 0 0
192.168.2.55 104.244.42.129 60021 443 55212.397705078125 1506.189 1609.566 103.377 2 1 2 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 104.244.42.1 60023 443 54518.220703125 0.0 797.618 797.618 9 1 8 3 755 3 755 0 0 11 0 11 4 10316 6 10316 0 0
