DA TP FP TN FN SM RT TPR FPR ACC
160.5 24 0 0 0 24 0.33 100.0% 0 100.0%
161.0 24 0 0 0 24 0.33 100.0% 0 100.0%
161.5 24 0 0 0 24 0.33 100.0% 0 100.0%
162.0 24 0 0 0 24 0.33 100.0% 0 100.0%
162.5 24 0 0 0 24 0.33 100.0% 0 100.0%
163.0 24 0 0 0 24 0.33 100.0% 0 100.0%
163.5 24 0 0 0 24 0.33 100.0% 0 100.0%
164.0 24 0 0 0 24 0.33 100.0% 0 100.0%
164.5 24 0 0 0 24 0.33 100.0% 0 100.0%
165.0 24 0 0 0 24 0.33 100.0% 0 100.0%
165.5 24 0 0 0 24 0.33 100.0% 0 100.0%
166.0 24 0 0 0 24 0.33 100.0% 0 100.0%
166.5 24 0 0 0 24 0.33 100.0% 0 100.0%
167.0 24 0 0 0 24 0.33 100.0% 0 100.0%
167.5 24 0 0 0 24 0.33 100.0% 0 100.0%
168.0 24 0 0 0 24 0.33 100.0% 0 100.0%
168.5 24 0 0 0 24 0.33 100.0% 0 100.0%
169.0 24 0 0 0 24 0.33 100.0% 0 100.0%
169.5 24 0 0 0 24 0.33 100.0% 0 100.0%
170.0 24 0 0 0 24 0.33 100.0% 0 100.0%
170.5 24 0 0 0 24 0.33 100.0% 0 100.0%
171.0 24 0 0 0 24 0.33 100.0% 0 100.0%
171.5 24 0 0 0 24 0.33 100.0% 0 100.0%
172.0 24 0 0 0 24 0.33 100.0% 0 100.0%
172.5 24 0 0 0 24 0.33 100.0% 0 100.0%
173.0 24 0 0 0 24 0.33 100.0% 0 100.0%
173.5 24 0 0 0 24 0.33 100.0% 0 100.0%
174.0 24 0 0 0 24 0.33 100.0% 0 100.0%
174.5 24 0 0 0 24 0.33 100.0% 0 100.0%
175.0 24 0 0 0 24 0.33 100.0% 0 100.0%
175.5 24 0 0 0 24 0.33 100.0% 0 100.0%
176.0 24 0 0 0 24 0.33 100.0% 0 100.0%
176.5 24 0 0 0 24 0.33 100.0% 0 100.0%
177.0 24 0 0 0 24 0.33 100.0% 0 100.0%
177.5 24 0 0 0 24 0.33 100.0% 0 100.0%
178.0 24 0 0 0 24 0.33 100.0% 0 100.0%
178.5 24 0 0 0 24 0.33 100.0% 0 100.0%
179.0 24 0 0 0 24 0.33 100.0% 0 100.0%
179.5 24 0 0 0 24 0.33 100.0% 0 100.0%
180.0 24 0 0 0 24 0.33 100.0% 0 100.0%
180.5 24 0 0 0 24 0.33 100.0% 0 100.0%
181.0 24 0 0 0 24 0.33 100.0% 0 100.0%
181.5 24 0 0 0 24 0.33 100.0% 0 100.0%
182.0 24 0 0 0 24 0.33 100.0% 0 100.0%
182.5 24 0 0 0 24 0.33 100.0% 0 100.0%
183.0 24 0 0 0 24 0.33 100.0% 0 100.0%
183.5 24 0 0 0 24 0.33 100.0% 0 100.0%
184.0 24 0 0 0 24 0.33 100.0% 0 100.0%
184.5 24 0 0 0 24 0.33 100.0% 0 100.0%
185.0 24 0 0 0 24 0.33 100.0% 0 100.0%
185.5 24 0 0 0 24 0.33 100.0% 0 100.0%
186.0 24 0 0 0 24 0.33 100.0% 0 100.0%
186.5 24 0 0 0 24 0.33 100.0% 0 100.0%
187.0 24 0 0 0 24 0.33 100.0% 0 100.0%
187.5 24 0 0 0 24 0.33 100.0% 0 100.0%
188.0 24 0 0 0 24 0.33 100.0% 0 100.0%
188.5 24 0 0 0 24 0.33 100.0% 0 100.0%
189.0 24 0 0 0 24 0.33 100.0% 0 100.0%
189.5 24 0 0 0 24 0.33 100.0% 0 100.0%
190.0 24 0 0 0 24 0.33 100.0% 0 100.0%
190.5 24 0 0 0 24 0.33 100.0% 0 100.0%
191.0 24 0 0 0 24 0.33 100.0% 0 100.0%
191.5 24 0 0 0 24 0.33 100.0% 0 100.0%
192.0 24 0 0 0 24 0.33 100.0% 0 100.0%
192.5 24 0 0 0 24 0.33 100.0% 0 100.0%
193.0 24 0 0 0 24 0.33 100.0% 0 100.0%
193.5 24 0 0 0 24 0.33 100.0% 0 100.0%
194.0 24 0 0 0 24 0.33 100.0% 0 100.0%
194.5 24 0 0 0 24 0.33 100.0% 0 100.0%
195.0 24 0 0 0 24 0.33 100.0% 0 100.0%
195.5 24 0 0 0 24 0.33 100.0% 0 100.0%
196.0 24 0 0 0 24 0.33 100.0% 0 100.0%
196.5 24 0 0 0 24 0.33 100.0% 0 100.0%
197.0 24 0 0 0 24 0.33 100.0% 0 100.0%
197.5 24 0 0 0 24 0.33 100.0% 0 100.0%
198.0 24 0 0 0 24 0.33 100.0% 0 100.0%
198.5 24 0 0 0 24 0.33 100.0% 0 100.0%
199.0 24 0 0 0 24 0.33 100.0% 0 100.0%
199.5 24 0 0 0 24 0.33 100.0% 0 100.0%
200.0 24 0 0 0 24 0.33 100.0% 0 100.0%
200.5 24 0 0 0 24 0.33 100.0% 0 100.0%
201.0 24 0 0 0 24 0.33 100.0% 0 100.0%
201.5 24 0 0 0 24 0.33 100.0% 0 100.0%
202.0 24 0 0 0 24 0.33 100.0% 0 100.0%
202.5 24 0 0 0 24 0.33 100.0% 0 100.0%
203.0 24 0 0 0 24 0.33 100.0% 0 100.0%
203.5 24 0 0 0 24 0.33 100.0% 0 100.0%
204.0 24 0 0 0 24 0.33 100.0% 0 100.0%
204.5 24 0 0 0 24 0.33 100.0% 0 100.0%
205.0 24 0 0 0 24 0.33 100.0% 0 100.0%
205.5 24 0 0 0 24 0.33 100.0% 0 100.0%
206.0 24 0 0 0 24 0.33 100.0% 0 100.0%
206.5 24 0 0 0 24 0.33 100.0% 0 100.0%
207.0 24 0 0 0 24 0.33 100.0% 0 100.0%
207.5 24 0 0 0 24 0.33 100.0% 0 100.0%
208.0 24 0 0 0 24 0.33 100.0% 0 100.0%
208.5 24 0 0 0 24 0.33 100.0% 0 100.0%
209.0 24 0 0 0 24 0.33 100.0% 0 100.0%
209.5 24 0 0 0 24 0.33 100.0% 0 100.0%
210.0 24 0 0 0 24 0.33 100.0% 0 100.0%
210.5 24 0 0 0 24 0.33 100.0% 0 100.0%
211.0 24 0 0 0 24 0.33 100.0% 0 100.0%
211.5 24 0 0 0 24 0.33 100.0% 0 100.0%
212.0 24 0 0 0 24 0.33 100.0% 0 100.0%
212.5 24 0 0 0 24 0.33 100.0% 0 100.0%
213.0 24 0 0 0 24 0.33 100.0% 0 100.0%
213.5 24 0 0 0 24 0.33 100.0% 0 100.0%
214.0 24 0 0 0 24 0.33 100.0% 0 100.0%
214.5 24 0 0 0 24 0.33 100.0% 0 100.0%
215.0 24 0 0 0 24 0.33 100.0% 0 100.0%
215.5 24 0 0 0 24 0.33 100.0% 0 100.0%
216.0 24 0 0 0 24 0.33 100.0% 0 100.0%
216.5 24 0 0 0 24 0.33 100.0% 0 100.0%
217.0 24 0 0 0 24 0.33 100.0% 0 100.0%
217.5 24 0 0 0 24 0.33 100.0% 0 100.0%
218.0 24 0 0 0 24 0.33 100.0% 0 100.0%
218.5 24 0 0 0 24 0.33 100.0% 0 100.0%
219.0 24 0 0 0 24 0.33 100.0% 0 100.0%
219.5 24 0 0 0 24 0.33 100.0% 0 100.0%
220.0 24 0 0 0 24 0.33 100.0% 0 100.0%
220.5 24 0 0 0 24 0.33 100.0% 0 100.0%
221.0 24 0 0 0 24 0.33 100.0% 0 100.0%
221.5 24 0 0 0 24 0.33 100.0% 0 100.0%
222.0 24 0 0 0 24 0.33 100.0% 0 100.0%
222.5 24 0 0 0 24 0.33 100.0% 0 100.0%
223.0 24 0 0 0 24 0.33 100.0% 0 100.0%
223.5 24 0 0 0 24 0.33 100.0% 0 100.0%
224.0 24 0 0 0 24 0.33 100.0% 0 100.0%
224.5 24 0 0 0 24 0.33 100.0% 0 100.0%
225.0 24 0 0 0 24 0.33 100.0% 0 100.0%
225.5 24 0 0 0 24 0.33 100.0% 0 100.0%
226.0 24 0 0 0 24 0.33 100.0% 0 100.0%
226.5 24 0 0 0 24 0.33 100.0% 0 100.0%
227.0 24 0 0 0 24 0.33 100.0% 0 100.0%
227.5 24 0 0 0 24 0.33 100.0% 0 100.0%
228.0 24 0 0 0 24 0.33 100.0% 0 100.0%
228.5 24 0 0 0 24 0.33 100.0% 0 100.0%
